,Image,Latitude,Longitude
0,gps_cams.mp4_frame0.jpg,28.40081896,77.02219674
1,gps_cams.mp4_frame1.jpg,28.40081896,77.02219674
2,gps_cams.mp4_frame10.jpg,28.40081896,77.02219674
3,gps_cams.mp4_frame100.jpg,28.40080661,77.02255331
4,gps_cams.mp4_frame1000.jpg,28.40074434,77.02409335
5,gps_cams.mp4_frame1001.jpg,28.40074434,7702409335.0
6,gps_cams.mp4_frame1002.jpg,28.40074434,7702409335.0
7,gps_cams.mp4_frame1003.jpg,28.40074434,7702409335.0
8,gps_cams.mp4_frame1004.jpg,28.40074434,7702409335.0
9,gps_cams.mp4_frame1005.jpg,28.40074434,7702409335.0
10,gps_cams.mp4_frame1006.jpg,28.40074434,7702409335.0
11,gps_cams.mp4_frame1007.jpg,28.40074434,77.02409335
12,gps_cams.mp4_frame1008.jpg,28.40074434,7702409335.0
13,gps_cams.mp4_frame1009.jpg,28.40074434,77.02409335
14,gps_cams.mp4_frame101.jpg,28.40080661,77.02255331
15,gps_cams.mp4_frame1010.jpg,28.40074434,7702409335.0
16,gps_cams.mp4_frame1011.jpg,28.40074434,77.02409335
17,gps_cams.mp4_frame1012.jpg,28.40074434,7702409335.0
18,gps_cams.mp4_frame1013.jpg,28.40074434,7702409335.0
19,gps_cams.mp4_frame1014.jpg,28.40074434,7702409335.0
20,gps_cams.mp4_frame1015.jpg,28.40074434,7702409335.0
21,gps_cams.mp4_frame1016.jpg,28.40074434,7702409335.0
22,gps_cams.mp4_frame1017.jpg,28.40074434,77.02409335
23,gps_cams.mp4_frame1018.jpg,28.40074434,7702409335.0
24,gps_cams.mp4_frame1019.jpg,28.40074434,77.02409335
25,gps_cams.mp4_frame102.jpg,28.40080661,77.02255331
26,gps_cams.mp4_frame1020.jpg,28.40074434,7702409335.0
27,gps_cams.mp4_frame1021.jpg,28.40074434,7702409335.0
28,gps_cams.mp4_frame1022.jpg,28.40074434,7702409335.0
29,gps_cams.mp4_frame1023.jpg,28.40074434,7702409335.0
30,gps_cams.mp4_frame1024.jpg,28.40074434,7702409335.0
31,gps_cams.mp4_frame1025.jpg,28.40074434,7702409335.0
32,gps_cams.mp4_frame1026.jpg,28.40074434,7702409335.0
33,gps_cams.mp4_frame1027.jpg,28.40074434,77.02409335
34,gps_cams.mp4_frame1028.jpg,28.40074434,77.02409335
35,gps_cams.mp4_frame1029.jpg,28.40074434,77.02409335
36,gps_cams.mp4_frame103.jpg,28.40080661,77.02255331
37,gps_cams.mp4_frame1030.jpg,28.40074434,7702409335.0
38,gps_cams.mp4_frame1031.jpg,28.40074434,77.02409335
39,gps_cams.mp4_frame1032.jpg,28.40074434,7702409335.0
40,gps_cams.mp4_frame1033.jpg,28.40074434,7702409335.0
41,gps_cams.mp4_frame1034.jpg,28.40074434,77.02409335
42,gps_cams.mp4_frame1035.jpg,28.40074434,77.02409335
43,gps_cams.mp4_frame1036.jpg,28.40074434,7702409335.0
44,gps_cams.mp4_frame1037.jpg,28.40074434,77.02409335
45,gps_cams.mp4_frame1038.jpg,28.40073607,7702418259.0
46,gps_cams.mp4_frame1039.jpg,28.40073607,77.02418259
